prior_prediction,fatigue,home,adjustment
0.025,FALSE,FALSE,0.03806210009492932
0.025,FALSE,TRUE,0.1209014283393182
0.025,TRUE,FALSE,0.025319278900760522
0.025,TRUE,TRUE,0.10958621301076263
0.07500000000000001,FALSE,FALSE,0.0011758981273621086
0.07500000000000001,FALSE,TRUE,0.10807141513458071
0.07500000000000001,TRUE,FALSE,-0.01481631431473424
0.07500000000000001,TRUE,TRUE,0.09502140444210991
0.12500000000000003,FALSE,FALSE,-0.028699398518434893
0.12500000000000003,FALSE,TRUE,0.10087847785062581
0.12500000000000003,TRUE,FALSE,-0.04838638395984743
0.12500000000000003,TRUE,TRUE,0.08585887778492915
0.17500000000000002,FALSE,FALSE,-0.0522983096213286
0.17500000000000002,FALSE,TRUE,0.09822505876846671
0.17500000000000002,TRUE,FALSE,-0.07601057020340471
0.17500000000000002,TRUE,TRUE,0.08108508415747842
0.225,FALSE,FALSE,-0.07035535496018604
0.225,FALSE,TRUE,0.09901360016911656
0.225,TRUE,FALSE,-0.09830851321423176
0.225,TRUE,TRUE,0.07968647467801573
0.27499999999999997,FALSE,FALSE,-0.08360505431387402
0.27499999999999997,FALSE,TRUE,0.10214654433358852
0.27499999999999997,TRUE,FALSE,-0.11589985316115421
0.27499999999999997,TRUE,TRUE,0.08064950046479909
0.325,FALSE,FALSE,-0.09278192746125961
0.325,FALSE,TRUE,0.10652633354289585
0.325,TRUE,FALSE,-0.1294042302129978
0.325,TRUE,TRUE,0.08296061263608655
0.375,FALSE,FALSE,-0.09862049418120968
0.375,FALSE,TRUE,0.11105541007805163
0.375,TRUE,FALSE,-0.13944128453858812
0.375,TRUE,TRUE,0.08560626231013611
0.425,FALSE,FALSE,-0.10185527425259121
0.425,FALSE,TRUE,0.11463621622006914
0.425,TRUE,FALSE,-0.1466306563067509
0.425,TRUE,TRUE,0.08757290060520585
0.475,FALSE,FALSE,-0.10322078745427113
0.475,FALSE,TRUE,0.1161711942499615
0.475,TRUE,FALSE,-0.15159198568631183
0.475,TRUE,TRUE,0.08784697863955378
0.525,FALSE,FALSE,-0.10220049679984151
0.525,FALSE,TRUE,0.11591929491549685
0.525,TRUE,FALSE,-0.15373590973371756
0.525,TRUE,TRUE,0.08675699442787381
0.5750000000000001,FALSE,FALSE,-0.09850060245118232
0.5750000000000001,FALSE,TRUE,0.11438738896708983
0.5750000000000001,TRUE,FALSE,-0.15274456080359275
0.5750000000000001,TRUE,TRUE,0.08484444890905844
0.6250000000000001,FALSE,FALSE,-0.09318972990959215
0.6250000000000001,FALSE,TRUE,0.11084979868972346
0.6250000000000001,TRUE,FALSE,-0.14964482201202978
0.6250000000000001,TRUE,TRUE,0.08141529758766348
0.675,FALSE,FALSE,-0.08733650467636975
0.675,FALSE,TRUE,0.10458084636838073
0.675,TRUE,FALSE,-0.14546357647512106
0.675,TRUE,TRUE,0.07577549596824484
0.7250000000000001,FALSE,FALSE,-0.08200955225281376
0.7250000000000001,FALSE,TRUE,0.09485485428804463
0.7250000000000001,TRUE,FALSE,-0.1412277073089591
0.7250000000000001,TRUE,TRUE,0.06723099955535836
0.775,FALSE,FALSE,-0.07827749814022286
0.775,FALSE,TRUE,0.08094614473369817
0.775,TRUE,FALSE,-0.1379640976296363
0.775,TRUE,TRUE,0.055087763853559846
0.8250000000000001,FALSE,FALSE,-0.07720896783989573
0.8250000000000001,FALSE,TRUE,0.062129039990324327
0.8250000000000001,TRUE,FALSE,-0.13669963055324508
0.8250000000000001,TRUE,TRUE,0.03865174436740519
0.8750000000000001,FALSE,FALSE,-0.07987258685313105
0.8750000000000001,FALSE,TRUE,0.037677862342906085
0.8750000000000001,TRUE,FALSE,-0.13846118919587788
0.8750000000000001,TRUE,TRUE,0.017228896601450217
0.925,FALSE,FALSE,-0.08733698068122747
0.925,FALSE,TRUE,0.006866934076426513
0.925,TRUE,FALSE,-0.14427565667362716
0.925,TRUE,TRUE,-0.009874823939749172
0.975,FALSE,FALSE,-0.10067077482548363
0.975,FALSE,TRUE,-0.03102942252413131
0.975,TRUE,FALSE,-0.1551699161025853
0.975,TRUE,TRUE,-0.04335346175163705
